,Year,variable,value
0,1880,Same Name as President,29179
1,1881,Same Name as President,26432
2,1882,Same Name as President,29083
3,1883,Same Name as President,26636
4,1884,Same Name as President,28454
5,1885,Same Name as President,26286
6,1886,Same Name as President,27005
7,1887,Same Name as President,24548
8,1888,Same Name as President,28672
9,1889,Same Name as President,26156
10,1890,Same Name as President,25719
11,1891,Same Name as President,23169
12,1892,Same Name as President,27266
13,1893,Same Name as President,24848
14,1894,Same Name as President,25238
15,1895,Same Name as President,25309
16,1896,Same Name as President,25665
17,1897,Same Name as President,23860
18,1898,Same Name as President,26239
19,1899,Same Name as President,22195
20,1900,Same Name as President,30977
21,1901,Same Name as President,21526
22,1902,Same Name as President,24655
23,1903,Same Name as President,23697
24,1904,Same Name as President,24968
25,1905,Same Name as President,25144
26,1906,Same Name as President,25465
27,1907,Same Name as President,27647
28,1908,Same Name as President,29115
29,1909,Same Name as President,30459
30,1910,Same Name as President,35048
31,1911,Same Name as President,41810
32,1912,Same Name as President,79447
33,1913,Same Name as President,95112
34,1914,Same Name as President,119891
35,1915,Same Name as President,154359
36,1916,Same Name as President,163271
37,1917,Same Name as President,170974
38,1918,Same Name as President,187971
39,1919,Same Name as President,179656
40,1920,Same Name as President,200301
41,1921,Same Name as President,210453
42,1922,Same Name as President,206827
43,1923,Same Name as President,212493
44,1924,Same Name as President,222046
45,1925,Same Name as President,221715
46,1926,Same Name as President,222094
47,1927,Same Name as President,227452
48,1928,Same Name as President,228405
49,1929,Same Name as President,225852
50,1930,Same Name as President,229673
51,1931,Same Name as President,218164
52,1932,Same Name as President,224656
53,1933,Same Name as President,217592
54,1934,Same Name as President,225959
55,1935,Same Name as President,227513
56,1936,Same Name as President,227069
57,1937,Same Name as President,229287
58,1938,Same Name as President,235433
59,1939,Same Name as President,232371
60,1940,Same Name as President,242247
61,1941,Same Name as President,255828
62,1942,Same Name as President,285330
63,1943,Same Name as President,295970
64,1944,Same Name as President,280724
65,1945,Same Name as President,272819
66,1946,Same Name as President,327754
67,1947,Same Name as President,354218
68,1948,Same Name as President,326647
69,1949,Same Name as President,319706
70,1950,Same Name as President,311997
71,1951,Same Name as President,319628
72,1952,Same Name as President,323270
73,1953,Same Name as President,317684
74,1954,Same Name as President,316528
75,1955,Same Name as President,306066
76,1956,Same Name as President,307190
77,1957,Same Name as President,302967
78,1958,Same Name as President,287600
79,1959,Same Name as President,278555
80,1960,Same Name as President,268503
81,1961,Same Name as President,264744
82,1962,Same Name as President,252921
83,1963,Same Name as President,250584
84,1964,Same Name as President,249648
85,1965,Same Name as President,222819
86,1966,Same Name as President,206387
87,1967,Same Name as President,198818
88,1968,Same Name as President,193546
89,1969,Same Name as President,188885
90,1970,Same Name as President,187456
91,1971,Same Name as President,165865
92,1972,Same Name as President,140915
93,1973,Same Name as President,128058
94,1974,Same Name as President,121668
95,1975,Same Name as President,114720
96,1976,Same Name as President,109699
97,1977,Same Name as President,110818
98,1978,Same Name as President,107099
99,1979,Same Name as President,109361
100,1980,Same Name as President,110224
101,1981,Same Name as President,107987
102,1982,Same Name as President,107658
103,1983,Same Name as President,102866
104,1984,Same Name as President,100596
105,1985,Same Name as President,98167
106,1986,Same Name as President,95889
107,1987,Same Name as President,93958
108,1988,Same Name as President,93420
109,1989,Same Name as President,94784
110,1990,Same Name as President,93170
111,1991,Same Name as President,88446
112,1992,Same Name as President,83276
113,1993,Same Name as President,78217
114,1994,Same Name as President,74564
115,1995,Same Name as President,71907
116,1996,Same Name as President,70825
117,1997,Same Name as President,68444
118,1998,Same Name as President,67777
119,1999,Same Name as President,66987
120,2000,Same Name as President,67806
121,2001,Same Name as President,66187
122,2002,Same Name as President,64130
123,2003,Same Name as President,64319
124,2004,Same Name as President,65271
125,2005,Same Name as President,63754
126,2006,Same Name as President,63218
127,2007,Same Name as President,61801
128,2008,Same Name as President,60305
129,2009,Same Name as President,58672
130,2010,Same Name as President,56501
131,2011,Same Name as President,57077
132,2012,Same Name as President,57632
133,2013,Same Name as President,58448
134,2014,Same Name as President,61441
135,2015,Same Name as President,60709
136,2016,Same Name as President,60194
137,2017,Same Name as President,57395
138,2018,Same Name as President,55569
139,2019,Same Name as President,52767
140,2020,Same Name as President,48425
141,2021,Same Name as President,47487
142,2022,Same Name as President,44478
143,2023,Same Name as President,42260
144,1880,Same Name as Royal,42678
145,1881,Same Name as Royal,39425
146,1882,Same Name as Royal,44414
147,1883,Same Name as Royal,42032
148,1884,Same Name as Royal,45509
149,1885,Same Name as Royal,43503
150,1886,Same Name as Royal,44969
151,1887,Same Name as Royal,42763
152,1888,Same Name as Royal,50671
153,1889,Same Name as Royal,47618
154,1890,Same Name as Royal,47872
155,1891,Same Name as Royal,44558
156,1892,Same Name as Royal,51530
157,1893,Same Name as Royal,48635
158,1894,Same Name as Royal,49802
159,1895,Same Name as Royal,50357
160,1896,Same Name as Royal,51450
161,1897,Same Name as Royal,49189
162,1898,Same Name as Royal,53736
163,1899,Same Name as Royal,47208
164,1900,Same Name as Royal,62060
165,1901,Same Name as Royal,46770
166,1902,Same Name as Royal,52723
167,1903,Same Name as Royal,51369
168,1904,Same Name as Royal,53807
169,1905,Same Name as Royal,56640
170,1906,Same Name as Royal,58106
171,1907,Same Name as Royal,62664
172,1908,Same Name as Royal,66530
173,1909,Same Name as Royal,69291
174,1910,Same Name as Royal,80137
175,1911,Same Name as Royal,90959
176,1912,Same Name as Royal,143385
177,1913,Same Name as Royal,166725
178,1914,Same Name as Royal,209206
179,1915,Same Name as Royal,267513
180,1916,Same Name as Royal,282932
181,1917,Same Name as Royal,292905
182,1918,Same Name as Royal,313418
183,1919,Same Name as Royal,300958
184,1920,Same Name as Royal,327031
185,1921,Same Name as Royal,336979
186,1922,Same Name as Royal,330166
187,1923,Same Name as Royal,331421
188,1924,Same Name as Royal,339647
189,1925,Same Name as Royal,329928
190,1926,Same Name as Royal,320959
191,1927,Same Name as Royal,325849
192,1928,Same Name as Royal,314345
193,1929,Same Name as Royal,303602
194,1930,Same Name as Royal,307356
195,1931,Same Name as Royal,287225
196,1932,Same Name as Royal,284083
197,1933,Same Name as Royal,264450
198,1934,Same Name as Royal,273439
199,1935,Same Name as Royal,274123
200,1936,Same Name as Royal,272197
201,1937,Same Name as Royal,283499
202,1938,Same Name as Royal,292223
203,1939,Same Name as Royal,294175
204,1940,Same Name as Royal,308615
205,1941,Same Name as Royal,327693
206,1942,Same Name as Royal,370409
207,1943,Same Name as Royal,385238
208,1944,Same Name as Royal,370359
209,1945,Same Name as Royal,364641
210,1946,Same Name as Royal,437808
211,1947,Same Name as Royal,485901
212,1948,Same Name as Royal,463045
213,1949,Same Name as Royal,473828
214,1950,Same Name as Royal,474603
215,1951,Same Name as Royal,497150
216,1952,Same Name as Royal,514038
217,1953,Same Name as Royal,517199
218,1954,Same Name as Royal,525058
219,1955,Same Name as Royal,518751
220,1956,Same Name as Royal,512325
221,1957,Same Name as Royal,510727
222,1958,Same Name as Royal,491270
223,1959,Same Name as Royal,475044
224,1960,Same Name as Royal,464374
225,1961,Same Name as Royal,454894
226,1962,Same Name as Royal,433276
227,1963,Same Name as Royal,424600
228,1964,Same Name as Royal,417542
229,1965,Same Name as Royal,382855
230,1966,Same Name as Royal,364504
231,1967,Same Name as Royal,358356
232,1968,Same Name as Royal,347412
233,1969,Same Name as Royal,347539
234,1970,Same Name as Royal,346027
235,1971,Same Name as Royal,308482
236,1972,Same Name as Royal,270646
237,1973,Same Name as Royal,252700
238,1974,Same Name as Royal,249234
239,1975,Same Name as Royal,242629
240,1976,Same Name as Royal,238108
241,1977,Same Name as Royal,248207
242,1978,Same Name as Royal,246962
243,1979,Same Name as Royal,255253
244,1980,Same Name as Royal,261316
245,1981,Same Name as Royal,262349
246,1982,Same Name as Royal,265575
247,1983,Same Name as Royal,263904
248,1984,Same Name as Royal,263121
249,1985,Same Name as Royal,265117
250,1986,Same Name as Royal,263287
251,1987,Same Name as Royal,264512
252,1988,Same Name as Royal,267009
253,1989,Same Name as Royal,270273
254,1990,Same Name as Royal,269284
255,1991,Same Name as Royal,257315
256,1992,Same Name as Royal,243772
257,1993,Same Name as Royal,230081
258,1994,Same Name as Royal,215624
259,1995,Same Name as Royal,205531
260,1996,Same Name as Royal,199894
261,1997,Same Name as Royal,194932
262,1998,Same Name as Royal,191739
263,1999,Same Name as Royal,187503
264,2000,Same Name as Royal,184331
265,2001,Same Name as Royal,176828
266,2002,Same Name as Royal,173349
267,2003,Same Name as Royal,171252
268,2004,Same Name as Royal,169392
269,2005,Same Name as Royal,164306
270,2006,Same Name as Royal,160695
271,2007,Same Name as Royal,161427
272,2008,Same Name as Royal,152310
273,2009,Same Name as Royal,144575
274,2010,Same Name as Royal,142807
275,2011,Same Name as Royal,143283
276,2012,Same Name as Royal,142252
277,2013,Same Name as Royal,142135
278,2014,Same Name as Royal,142174
279,2015,Same Name as Royal,138759
280,2016,Same Name as Royal,136904
281,2017,Same Name as Royal,129984
282,2018,Same Name as Royal,125469
283,2019,Same Name as Royal,119323
284,2020,Same Name as Royal,111718
285,2021,Same Name as Royal,108697
286,2022,Same Name as Royal,105516
287,2023,Same Name as Royal,100627
